name,tmplt,vm,esxi,ds,ip,gw,hostname
13.91_Sugang1,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.14,Unity380,165.246.13.91,165.246.13.1,1391-Sugang1
13.92_Sugang2,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.14,Unity380,165.246.13.92,165.246.13.1,1392-Sugang2
13.93_Sugang3,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.14,Unity380,165.246.13.93,165.246.13.1,1393-Sugang3
13.94_Sugang4,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.15,Unity380,165.246.13.94,165.246.13.1,1394-Sugang4
13.95_Sugang5,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.15,Unity380,165.246.13.95,165.246.13.1,1395-Sugang5
13.96_Sugang6,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.15,Unity380,165.246.13.96,165.246.13.1,1396-Sugang6
13.97_Sugang7,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.16,Unity380,165.246.13.97,165.246.13.1,1397-Sugang7
13.98_Sugang8,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.16,Unity380,165.246.13.98,165.246.13.1,1398-Sugang8
13.99_Sugang9,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.16,Unity380,165.246.13.99,165.246.13.1,1399-Sugang9
13.197_Sugang-sub1,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.13,Unity380,165.246.13.197,165.246.13.1,13197-Sugang-sub1
13.198_Sugang-sub2,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.13,Unity380,165.246.13.198,165.246.13.1,13198-Sugang-sub2
13.199_Sugang-sub3,TMPLT-SUGANG,TMPLT-SUGANG,192.168.250.13,Unity380,165.246.13.199,165.246.13.1,13199-Sugang-sub3
